gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3456825880	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172473390/original.jpeg	https://www.inaturalist.org/photos/172473390					2021-09-01T22:35:23Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456825880	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172473333/original.jpeg	https://www.inaturalist.org/photos/172473333					2021-09-01T22:35:20Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456749302	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172474431/original.jpeg	https://www.inaturalist.org/photos/172474431					2021-09-01T20:17:58Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456705353	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172466118/original.jpeg	https://www.inaturalist.org/photos/172466118					2021-09-05T02:06:52Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456705353	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172466099/original.jpeg	https://www.inaturalist.org/photos/172466099					2021-09-05T02:06:50Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456705353	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172466060/original.jpeg	https://www.inaturalist.org/photos/172466060					2021-09-05T02:06:44Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456590116	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172475357/original.jpeg	https://www.inaturalist.org/photos/172475357					2021-09-01T21:45:34Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456583172	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172475394/original.jpeg	https://www.inaturalist.org/photos/172475394					2021-09-01T21:52:44Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456496792	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172474250/original.jpeg	https://www.inaturalist.org/photos/172474250					2021-09-01T20:04:02Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456496792	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172474245/original.jpeg	https://www.inaturalist.org/photos/172474245					2021-09-01T20:04:01Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456480846	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172464836/original.jpeg	https://www.inaturalist.org/photos/172464836					2021-09-10T16:33:15Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456480846	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172464784/original.jpeg	https://www.inaturalist.org/photos/172464784					2021-09-10T16:33:06Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456480846	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172464809/original.jpeg	https://www.inaturalist.org/photos/172464809					2021-09-10T16:33:11Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456336050	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172473701/original.jpeg	https://www.inaturalist.org/photos/172473701					2021-09-02T17:51:01Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456161250	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172474980/original.jpeg	https://www.inaturalist.org/photos/172474980					2021-09-01T21:23:10Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
